Complexity,Loss,Equation
1,11.781446977504437,"-0.006449155235213517"
3,2.8087323376143147,"x0 * -0.09578909433902603"
5,1.442499387900239,"(x0 * x2) * -0.03284040048129752"
7,0.22210201011951058,"(x2 * -0.014857657669530363) / (x0 ^ -0.5556602577697725)"
9,0.08721510559970831,"(x2 / (x1 + (x0 ^ -1.313712374563863))) * -0.3303216241544443"
11,0.03430622460964303,"((x2 - 0.3073885975245487) * -0.3659394228526011) / (x1 + (x0 ^ -1.3002772406358232))"
13,0.012610521315697884,"((x2 + -0.26313202951016407) * -0.4226701077180365) / (((x0 * 0.32432032065405175) ^ -1.0339753433818253) + x1)"
15,0.0069929726152692375,"((x2 * -0.49900117817740947) / (((x0 * 0.19559096485066196) ^ -0.9853021058772442) + x1)) + (x0 * 0.015029270637976648)"
17,0.00594408386883826,"((x2 * -0.5165085879535388) * (x0 / ((x1 * x0) + 5.106426599596377))) + ((x0 ^ 1.1889260819448317) * 0.02347177491024671)"
19,0.003203593868882368,"((x0 * (-0.4573838897916949 * x2)) / ((x0 * x1) + 4.548574257487999)) + ((x0 ^ 1.7352654182643408) / (x2 * 11.836527780505037))"
21,0.001401303682181838,"((x0 * 0.08835817019319381) / (1.554406261799588 ^ x2)) + (((-0.48659566753769234 - (x2 * 0.3828391487000085)) * x0) / ((x1 * x0) + 5.006589167187007))"
23,0.0005321353919236591,"(x0 * (0.08697584511882726 * (0.6432434989625445 ^ x2))) + ((x0 * (-0.47674329125102266 - (x2 * 0.38435577570404944))) / ((x1 * (x0 + -0.0077715746504037776)) + 5.392668441040967))"
25,0.00048814183140972285,"(((0.6441750070348752 ^ x2) * 0.08759725519860785) * (x0 + 0.0006810640036335212)) + (((-0.4868868197476024 - (x2 * 0.38254550462848247)) * x0) / ((x1 * (x0 + -0.008014080069477956)) + 5.402269536768559))"
27,0.0004870061102670103,"((((x0 + 0.00046274684251330396) * (0.643460540238732 ^ x2)) * 0.08740781517272868) + 8.882059878799651e-6) + (((-0.4835353772529512 - (x2 * 0.38270563574979133)) * x0) / ((x1 * (x0 + -0.008047768746933526)) + 5.392331562820722))"
29,0.0004313756223395655,"((x0 * (-0.4347020139977611 - (x2 * 0.3881325624388779))) / (((x0 + -0.006142737792675284) * x1) + 5.265629207413736)) + ((x0 * (0.6285963579193176 ^ x2)) * (((x0 * x0) * 0.0920383679004401) + 0.08239267832251619))"
31,0.0004066552333293386,"((((0.628884647627308 ^ x2) * x0) * ((x0 * (x0 * 0.0850418625980098)) + 0.08276458839412451)) - -1.864751147696294e-5) + ((x0 * (-0.4378833216565764 - (x2 * 0.3869638853968248))) / (((x0 + -0.006511692125148088) * x1) + 5.261812005279236))"
